a precarious situation; eine brenzlige Situation
virtually; geradezu | schlechterdings | gewissermaßen
swift | speedy; schleunig
terribly; furchtbar (auch im übertragenen Sinne)
figurative meaning; übertragene Bedeutung
obnoxious; unausstehlich
capricious; launisch
coy; schüchtern | zurückhaltend | prüde
abecedarian; elementar | rudimentär | zum ABC gehörig
quixotic; weltfremd | idealistisch | edelmütig; von Cervantes' "Don Quixote"
far-flung; weit entfernt | entlegen
demure; prüde
utter;  heillos | völlig | absolut | äußerst; wörtlich: "ausgesprochen"
heedful; achtsam | aufmerksam
arable; urbar | bebaubar (AGR.)
cramped; beengt | überfüllt
spacious; geräumig | großräumig | weitläufig
fearsome; furchterregend
sure-footed; trittsicher
self-indulgent; maßlos | zügellos
indulgent; nachsichtig | nachgiebig
to be prone to sth.; für etw. anfällig sein
rebuffed; brüskiert
vulnerable; verletzlich | gefährdet | angreifbar
hoped-for; erhofft
vastly | considerable | extensive | material | remarkable | notably | significant | substantial; erheblich
major doubts; erhebliche Zweifel
substantial risk; erhebliches Risiko
ubiquitous; allgegenwärtig
incapacitated; arbeitsunfähig | berufsunfähig
undoubtedly; zweifellos
feckless; nutzlos | inkompetent
late; kürzlich verstorben
upbeat; optimistisch | euphorisch
futile; vergeblich | aussichtlos | zwecklos | unnütz